AREA,AREA_NAME,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,29-1218,Obstetricians and Gynecologists,detailed,230,20.4,0.118,0.87,NA,111.5,231930,9,63.54,80.94,#,#,#,132160,168350,#,#,#,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,29-1221,"Pediatricians, General",detailed,250,17.5,0.128,0.65,NA,*,*,*,*,*,*,*,*,*,*,*,*,*,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,29-1223,Psychiatrists,detailed,300,12.7,0.151,0.82,NA,134.09,278900,6,77.99,#,#,#,#,162230,#,#,#,#,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,29-1228,"Physicians, All Other; and Ophthalmologists, Except Pediatric",detailed,5850,8.3,2.99,1.11,NA,121.55,252820,4.7,56.5,95.64,#,#,#,117530,198940,#,#,#,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,29-1248,"Surgeons, Except Ophthalmologists",detailed,780,10.9,0.398,1.46,NA,110.96,230810,9.6,32.2,40.71,#,#,#,66980,84680,#,#,#,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,29-1292,Dental Hygienists,detailed,3450,17.5,1.762,1.26,NA,46.75,97230,4.7,29.01,42.96,47.9,53.63,60.72,60340,89350,99640,111550,126290,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,29-1298,"Acupuncturists and Healthcare Diagnosing or Treating Practitioners, All Other",detailed,1040,20.2,0.531,2.05,NA,46.48,96670,14.8,19.27,28.2,36.2,48.05,76.03,40070,58670,75300,99940,158150,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,29-2010,Clinical Laboratory Technologists and Technicians,detailed,3960,10.5,2.025,0.86,NA,30.84,64150,2,18.02,22.59,30.16,38.83,45.96,37480,46980,62740,80760,95600,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,29-2031,Cardiovascular Technologists and Technicians,detailed,550,14.5,0.28,0.7,NA,32.41,67410,4.9,18.84,22.31,29.62,42.36,50.48,39180,46400,61610,88110,105000,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,29-2032,Diagnostic Medical Sonographers,detailed,1060,20.4,0.544,1.02,NA,45.58,94820,1.9,34.7,40.62,46.04,51.82,59.13,72190,84490,95770,107770,122980,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,29-2033,Nuclear Medicine Technologists,detailed,150,15.9,0.076,0.61,NA,51.51,107140,1.9,38.51,43.82,53.22,59.99,64.14,80100,91160,110690,124770,133400,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,29-2034,Radiologic Technologists and Technicians,detailed,2180,12.4,1.117,0.75,NA,38.99,81100,1.4,27.7,32.49,38.2,45.73,51.69,57620,67590,79460,95110,107510,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,29-2035,Magnetic Resonance Imaging Technologists,detailed,440,23.4,0.227,0.8,NA,48.99,101890,2.4,37.56,43.05,49.17,56.91,62.14,78130,89550,102270,118370,129240,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,29-2040,Emergency Medical Technicians and Paramedics,detailed,1740,7.7,0.89,0.48,NA,28.55,59380,11.2,14.54,16.6,22.71,42.03,50.59,30250,34530,47230,87430,105230,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,29-2051,Dietetic Technicians,detailed,160,19.8,0.08,0.42,NA,21.48,44680,3.4,15.1,17.34,21.13,24.51,29.58,31400,36060,43950,50970,61520,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,29-2052,Pharmacy Technicians,detailed,4450,15.6,2.273,0.76,NA,23.05,47940,1.5,17.73,20.63,22.98,25.49,29.41,36880,42910,47790,53010,61180,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,29-2053,Psychiatric Technicians,detailed,890,18.4,0.455,0.74,NA,20.84,43350,3.7,15.7,18.03,21.24,23.69,25.31,32660,37510,44170,49270,52650,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,29-2055,Surgical Technologists,detailed,1350,14.6,0.689,0.89,NA,30.44,63320,2.3,21.73,25.58,30.02,35.66,39.45,45200,53210,62440,74160,82060,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,29-2056,Veterinary Technologists and Technicians,detailed,1240,15,0.636,0.81,NA,20.48,42590,3.8,16.02,17.46,19.92,23.13,25.27,33320,36320,41420,48100,52560,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,29-2057,Ophthalmic Medical Technicians,detailed,410,22.9,0.209,0.49,NA,22.71,47240,3.6,16.55,18.44,21.85,25.73,31.03,34430,38360,45460,53520,64550,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,29-2061,Licensed Practical and Licensed Vocational Nurses,detailed,4410,8.1,2.255,0.46,NA,29.46,61270,1.8,21.99,25.61,29.27,33.57,37.94,45750,53270,60880,69820,78910,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,29-2081,"Opticians, Dispensing",detailed,780,25.4,0.398,0.81,NA,24.21,50370,7.2,16.49,18.13,25.02,29.64,32.89,34300,37710,52040,61650,68420,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,29-2091,Orthotists and Prosthetists,detailed,100,33.2,0.052,0.76,NA,39.16,81460,6.4,30.9,33.56,36.85,43.08,52.58,64270,69810,76650,89610,109360,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,29-2098,"Medical Dosimetrists, Medical Records Specialists, and Health Technologists and Technicians, All Other",detailed,4710,14.1,2.411,1.05,NA,28.61,59500,1.9,17.94,21.51,27.28,33.89,40.64,37320,44740,56740,70500,84530,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,29-9091,Athletic Trainers,detailed,380,35.2,0.197,1,NA,*,50970,2.3,*,*,*,*,*,41850,44710,49490,56450,63700,True,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,29-9092,Genetic Counselors,detailed,60,9.8,0.03,1.82,NA,43.32,90110,2.1,34.77,38.85,43.71,48.36,51.84,72310,80800,90920,100580,107820,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,29-9098,"Health Information Technologists, Medical Registrars, Surgical Assistants, and Healthcare Practitioners and Technical Workers, All Other",detailed,1290,16.4,0.661,1.2,NA,31.17,64840,4.4,19.41,22.68,28.06,37.07,51.16,40360,47170,58360,77110,106410,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,31-0000,Healthcare Support Occupations,major,73760,4.1,37.713,0.81,NA,19.32,40190,1.1,14.1,15.42,17.97,21.71,27.11,29330,32070,37380,45160,56390,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,31-1120,Home Health and Personal Care Aides,detailed,28610,8,14.629,0.63,NA,16.24,33770,1.1,13.67,14.35,15.51,17.71,19.27,28430,29850,32270,36830,40080,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,31-1131,Nursing Assistants,detailed,19630,8.6,10.036,1.02,NA,18.2,37860,1.4,14.83,16.44,18.06,19.68,22.63,30850,34200,37560,40940,47080,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,31-1132,Orderlies,detailed,180,26.3,0.091,0.29,NA,17.34,36070,2.9,14.09,14.94,16.56,19.21,22.42,29300,31080,34440,39970,46630,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,31-1133,Psychiatric Aides,detailed,280,4.5,0.144,0.39,NA,22.74,47300,4.2,18.55,20.94,22.93,24.93,27.04,38570,43560,47700,51850,56250,,
