AREA,AREA_NAME,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,51-8012,Power Distributors and Dispatchers,detailed,90,7.3,0.048,0.7,NA,NA,63.25,131560,2.1,47.86,53.23,62.76,74.79,79.9,99550,110720,130550,155560,166200,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,51-8013,Power Plant Operators,detailed,110,21.6,0.059,0.29,NA,NA,53.17,110600,6.8,38.24,48.82,50.05,61.99,63.93,79530,101550,104110,128950,132980,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,51-8021,Stationary Engineers and Boiler Operators,detailed,260,6.5,0.135,0.64,NA,NA,38.86,80830,1.3,30.17,33.03,37.16,46.84,49.75,62750,68700,77280,97420,103490,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,51-8031,Water and Wastewater Treatment Plant and System Operators,detailed,730,9.6,0.381,0.44,NA,NA,38.89,80900,1.1,29,31.59,37.68,46.23,48.37,60320,65700,78370,96160,100600,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,51-8092,Gas Plant Operators,detailed,80,26.2,0.042,0.39,NA,NA,38.23,79520,12.3,20.59,26.28,39.23,50.05,50.05,42830,54660,81600,104110,104110,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,51-8099,"Plant and System Operators, All Other",detailed,90,20.1,0.048,0.44,NA,NA,35.96,74800,3.8,29.07,33.02,33.13,35.51,42.36,60470,68680,68900,73860,88110,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,51-9011,Chemical Equipment Operators and Tenders,detailed,310,11.9,0.163,0.22,NA,NA,30.03,62460,5.3,17.47,20.99,29.03,36.05,45.66,36330,43660,60370,74980,94970,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",detailed,560,8.2,0.29,0.84,NA,NA,26.37,54860,2.2,17.77,21.74,24.22,29.19,37.65,36960,45220,50370,60710,78310,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",detailed,190,16.8,0.099,0.44,NA,NA,23.77,49450,4.4,18.11,18.18,20.75,28.42,36.13,37670,37800,43150,59110,75140,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,51-9022,"Grinding and Polishing Workers, Hand",detailed,70,46.1,0.038,0.34,NA,NA,20.06,41710,3.1,16.37,17.85,18.33,23.22,23.95,34040,37120,38130,48290,49820,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",detailed,1090,10.4,0.57,0.74,NA,NA,24.43,50810,1.9,17.68,19.21,23.04,28.42,36.01,36780,39950,47920,59110,74890,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,51-9031,"Cutters and Trimmers, Hand",detailed,30,15,0.016,0.29,NA,NA,17.6,36610,2.1,14.73,14.73,18.33,18.33,18.33,30640,30640,38130,38130,38130,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",detailed,590,9.9,0.31,0.78,NA,NA,21.96,45690,1.7,17.69,18.33,22.32,23.47,28.9,36790,38130,46420,48820,60110,,
