PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC.QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",43-3031,"Bookkeeping, Accounting, and Auditing Clerks",detailed,16020,5,9.726,0.9,22.35,46480,1.2,15.28,17.88,21.65,25.64,30.28,31790,37190,45040,53340,62990,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",43-3041,Gaming Cage Workers,detailed,**,**,**,**,13.79,28670,7.7,11.01,11.35,12.78,16.42,18.38,22900,23620,26580,34140,38220,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",43-3051,Payroll and Timekeeping Clerks,detailed,1650,7,0.999,0.93,24.71,51400,1.3,17.02,21.14,24.81,28.81,31.88,35400,43980,51600,59920,66310,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",43-3061,Procurement Clerks,detailed,370,32.7,0.224,0.45,24.22,50380,1.8,17.53,19.98,23.93,27.92,30.97,36470,41550,49780,58070,64420,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",43-3071,Tellers,detailed,3870,7.4,2.349,0.68,15.92,33120,2.5,12.37,13.46,15.19,17.84,20.99,25730,27990,31590,37100,43650,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",43-3099,"Financial Clerks, All Other",detailed,190,27.2,0.117,0.52,24.19,50320,6.9,14.86,18.64,22.78,27.67,33.45,30910,38780,47390,57550,69580,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",43-4011,Brokerage Clerks,detailed,460,20.9,0.278,0.67,26.26,54620,2.3,17.08,21.17,25.9,30.48,36.44,35520,44040,53880,63400,75800,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",43-4021,Correspondence Clerks,detailed,50,13.6,0.033,0.74,14.09,29300,11.5,11.2,11.47,11.94,16.57,19.81,23290,23860,24820,34460,41200,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",43-4031,"Court, Municipal, and License Clerks",detailed,1040,10.1,0.634,0.68,25.48,53000,2.6,17.89,21.89,26.03,29.19,31.21,37210,45530,54150,60710,64910,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",43-4041,"Credit Authorizers, Checkers, and Clerks",detailed,**,**,**,**,20,41610,7.9,11.42,15.14,18.37,23.12,32.38,23760,31490,38200,48100,67350,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",43-4051,Customer Service Representatives,detailed,31560,5.4,19.159,0.99,19.99,41580,1.4,12.86,15.27,18.75,23.55,28.91,26760,31760,39000,48990,60140,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",43-4061,"Eligibility Interviewers, Government Programs",detailed,1600,1.5,0.968,0.98,23.66,49200,2.9,17.05,20.21,24.16,27.18,29.62,35470,42040,50260,56540,61620,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",43-4071,File Clerks,detailed,720,15.7,0.437,0.52,18.7,38890,3.6,12.74,14.44,17.47,22.19,27.26,26510,30030,36340,46160,56700,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",43-4081,"Hotel, Motel, and Resort Desk Clerks",detailed,2280,13.4,1.386,0.78,13.98,29090,1.8,11.46,12.13,13.67,15.47,17.67,23840,25230,28440,32180,36750,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",43-4111,"Interviewers, Except Eligibility and Loan",detailed,1750,9.3,1.061,0.8,18.52,38530,3.4,11.91,15.71,18.58,22.12,24.39,24770,32670,38640,46000,50730,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",43-4121,"Library Assistants, Clerical",detailed,900,0.6,0.548,0.83,15.15,31520,3.5,11.87,12.92,14.45,16.73,20.19,24690,26870,30060,34810,42000,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",43-4131,Loan Interviewers and Clerks,detailed,1570,12.3,0.952,0.6,21.15,44000,3.3,12.23,16.57,21.14,26.27,29.56,25430,34460,43970,54640,61480,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",43-4141,New Accounts Clerks,detailed,230,48.6,0.139,0.48,24.29,50520,24.2,13.56,17.04,20.49,23.77,53.82,28210,35440,42620,49450,111950,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",43-4151,Order Clerks,detailed,**,**,**,**,22.15,46070,2.6,15.02,17.22,21.7,26.44,29.59,31250,35830,45140,54990,61560,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",detailed,1430,17.6,0.87,0.92,21.73,45190,1.9,15.62,18.94,21.74,24.34,28.57,32480,39380,45230,50630,59420,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",43-4171,Receptionists and Information Clerks,detailed,11260,6,6.837,0.96,16.79,34920,1.5,11.8,13.71,16.56,19,22.87,24550,28520,34450,39520,47570,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,detailed,2340,9.4,1.42,1.37,19.35,40260,1.9,13.07,15.22,17.94,23.97,28.1,27190,31660,37310,49860,58450,,
